name,location,size,family_names,family_descriptions
Mouvement chouan,ANGERS,≈30,Nationaliste|Catholique,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Nancy royaliste – Action légitimiste,NANCY,<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Némésis,NATIONAL,>100,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Neuer Wanderbund,"SARREBOURG, SAVERNE, COLMAR",10-20,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Nouvelle droite,LILLE,≈20,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Novelum Carcassonne,CARCASSONNE,15-30,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
OBH – Orléans-Bourges hooligans,"ORLÉANS, BOURGES",≈15,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Oriflamme,RENNES,10-20,Nationaliste|Monarchiste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Palatinu,"AJACCIO, BASTIA",≈500,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Parti national breton,"SAINT-BRIEUC, NANTES, RENNES",>30,Identitaire|Nationaliste,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières.|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Patria albiges,ALBI,≈20,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Quercus Rodumnae,ROANNE,<10,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Rébellion OSRE,"TOULOUSE, INTERNET",?,Confusionniste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles."
RED Angers,ANGERS,20-30,Nationaliste|Catholique,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Remes patriam,REIMS,≈15,Nationaliste|Monarchiste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Réseau Pythagore,"ANNECY, CHAMBÉRY, MULHOUSE",10-20,Confusionniste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles."
Roazhon 1901,RENNES,≈20,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Romulus & Rémus,PARIS,<10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Rutènes,RODEZ,<10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Soissons solidaires,SOISSONS,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Solidarité Arménie,INTERNET,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Sophia Polis,"DIJON, CLERMONT-FERRAND, LYON, PARIS",30-100,Catholique,
SOS calvaires,LE LION-D’ANGERS,<300,Catholique,
South side Lyon,LYON,≈100,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Souvenir normand,ROUEN,≈10,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Strasbourg Offender,STRASBOURG,≈15,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Strasbourg royaliste – Action légitimiste,STRASBOURG,<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Talion Brest,BREST,≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Tenesoun,"AIX, ORANGE",≈40,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Touche pas à ma statue,LES SABLES-D’OLONNE,≈10,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Turone Squad,TOURS,20-40,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Ultime rempart,"LE MANS, ANGERS",10-15,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Unité sud,PERPIGNAN,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Unvez Naoned,NANTES,≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Urgences panafricanistes,INTERNET,/,Confusionniste,"Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles."
Valence patriote - Obelio,VALENCE,≈15,Identitaire|Nationaliste|Monarchiste,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières.|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Valyor Chambéry,CHAMBÉRY,10-20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Vandal Besak,BESANÇON,≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Vannes royaliste – Action légitimiste,VANNES,<100,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Vectos,INTERNET,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Virido Galia,LA ROCHE-SUR-YON,≈10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
YSCR,ROUEN,15-35,Nationaliste|Hooligan,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
